source_id,source_type,source_name,doi,salt,temperature_c,concentration,concentration_unit,solvent_a,ratio_a,solvent_b,ratio_b,solvent_c,ratio_c,solvent_ratio_basis,component_count,solubility_mole_fraction,fully_dissolved,conductivity,conductivity_unit,viscosity_mpas,phase_stable_24h,phase_stable_7d,relative_uncertainty,notes
CALiSol-23:12623,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,3-Me-2-Oxazolidinone,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12624,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,3-MeSulfolane,100.0,,,,,v,1,,True,0.23,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12630,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,g-Butyrolactone,100.0,,,,,v,1,,True,5.12,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12649,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,DMF,100.0,,,,,v,1,,True,11.01,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12960,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,EC,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13278,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,0.2,mol/l,PC,100.0,,,,,v,1,,True,1.33,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13279,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,PC,100.0,,,,,v,1,,True,1.74,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13285,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,0.2,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13286,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,0.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13287,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,0.67,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13288,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13289,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,2.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13514,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,0.75,mol/l,TEOS,100.0,,,,,v,1,,True,0.14,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13515,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,THF,100.0,,,,,v,1,,True,9.91,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13516,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,3-Glyme,100.0,,,,,v,1,,True,1.19,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12345,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,0.0,1.0,mol/l,2-MeTHF,100.0,,,,,v,1,,True,2.39,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
